text,cmp_code,party_id,date
Our aim: To make Britain the world's foremost learning society by 2010.,411,51421,199705
The problem: This country's education has been underfunded and undermined by repeated shifts in policy.,506,51421,199705
"Standards are too low, especially in core skills such as reading and maths.",506,51421,199705
Britain is too low in the world league tables.,506,51421,199705
Our commitment: Liberal Democrats will make education the next government's top priority.,506,51421,199705
"We will invest an additional £2 billion per year in education, funded by an extra 1p in the pound on the basic rate of income tax.",506,51421,199705
- Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it.,706,51421,199705
- Increase funding for books and equipment in schools.,506,51421,199705
- Reduce primary school class sizes so that within 5 years no child between 5 and 11 I will need to be in a class of more than 30.,506,51421,199705
- Tackle the backlog of repair and maintenance to buildings with £500m additional investment over 5 years.,506,51421,199705
- Boost chances for all adults to improve their skills and get better qualifications.,506,51421,199705
Early years education is the essential building block for higher standards and achievement later on.,706,51421,199705
Every £1 spent on high quality under-fives education raises standards in later life and adds up to £7 of value to the nations economy.,706,51421,199705
- Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it.,706,51421,199705
This will be the first call on our £2 billion annual programme of extra investment in education.,506,51421,199705
- Promote high standards in early years education.,506,51421,199705
"We will set minimum standards for care, curriculum and premises.",506,51421,199705
We will ensure that those in early years education are supervised by qualified staff.,506,51421,199705
- Provide choice in early years education.,506,51421,199705
We will scrap the bureaucratic voucher scheme.,408,51421,199705
"We will ensure a variety of provision from a wide range of public, private and voluntary providers.",408,51421,199705
- Raising standards in schools.,506,51421,199705
"We will raise standards in schools, especially in literacy and numeracy, which are still far too low.",506,51421,199705
- Improve teaching standards.,506,51421,199705
"We will set up a General Teaching Council, charged with improving teaching standards and making teaching a profession to be proud of again.",704,51421,199705
We will provide more opportunities for professional development and reward excellence in teaching.,704,51421,199705
"We will help poor teachers improve, but if they cannot, we will ensure they do not continue to teach.",704,51421,199705
- Encourage schools to succeed.,506,51421,199705
We will strengthen the inspection system so that it helps schools and we will extend inspection to monitoring Local Education Authorities (LEAs).,506,51421,199705
- Strengthen discipline in schools.,603,51421,199705
"We will support teachers in maintaining discipline and provide them with the means to do so - for example, by providing better access to special referral units.",603,51421,199705
We will require every school to develop a policy to tackle bullying and truancy.,603,51421,199705
We will launch a national Truancy Watch scheme.,603,51421,199705
We will oblige LEAs to fulfil their responsibilities to educate pupils excluded or suspended from school.,301,51421,199705
- Measure achievement in pupils and schools.,506,51421,199705
We will give every pupil a Personal Record of Achievement which will enable them to build up a set of nationally accredited qualifications and record their other achievements.,506,51421,199705
"We will require schools to publish meaningful information on their standards, achievements and plans for the future.",506,51421,199705
- Improve the National Curriculum.,506,51421,199705
We will replace the National Curriculum with a more focused and flexible Minimum Curriculum Entitlement.,506,51421,199705
We will ensure that religious education provides pupils with an understanding of the major traditions of belief in this country.,603,51421,199705
- Boost literacy.,506,51421,199705
We will establish special literacy programmes involving parents with teachers in a drive to ensure that 90 per cent of all pupils reach their expected reading age by 2005.,506,51421,199705
Extra investment for well-equipped classrooms and better-maintained buildings is essential if standards are to improve.,506,51421,199705
- Increase funding for books and equipment in schools.,506,51421,199705
"In the first year, we will double spending on books and equipment to overcome the effect of recent cuts.",506,51421,199705
"A typical primary school of 250 pupils will get an extra £16,000.",506,51421,199705
"A typical secondary school of 1,000 pupils will get an extra £110,000.",506,51421,199705
- Reduce primary school class sizes so that within 5 years no child between 5 and 11 will need to be in a class of more than 30.,506,51421,199705
- Tackle the backlog of repairs.,506,51421,199705
We will invest an additional £500 million over 5 years in repairing crumbling and unsafe buildings.,506,51421,199705
- Support children with special needs.,506,51421,199705
We will fully fund the implementation of the Code of Practice for Special Educational Needs.,506,51421,199705
Involving parents in the education of their children and ensuring schools are supported by local communities are both essential to achieving higher standards and a better use of resources.,506,51421,199705
- Increase the role of parents in education.,506,51421,199705
"We will extend home/school/pupil links, develop home-school partnership arrangements and support parents with information and resources to help them help their child.",506,51421,199705
We will require the schools inspection service to report on home-school partnerships as part of school inspections.,506,51421,199705
"We will promote school councils and guarantee automatic representation on governing bodies to staff and, where appropriate, students.",506,51421,199705
- Open up schools to the whole community.,411,51421,199705
"We will encourage schools to develop courses for parents, build links with local leisure organisations to open up school sports facilities to the community and work with local businesses to provide improved computer education.",411,51421,199705
- Give all schools more independence and allow them to develop their own styles and strengths.,301,51421,199705
We will devolve as many powers as possible to schools and give them more control over their budgets.,303,51421,199705
"We will make new 'light touch' LEAs responsible for those functions that cannot be undertaken by individual schools on their own, such as coordination, planning and monitoring standards.",303,51421,199705
We will bring grant-maintained schools and City Technology Colleges into this new framework and scrap the Funding Agency for Schools.,411,51421,199705
"Liberal Democrats are opposed to selection, but believe that decisions on this should be made by local communities through their local Councils and not by politicians at Westminster.",301,51421,199705
- Recognise the valuable role of church schools in the maintained sector.,607,51421,199705
We will initiate a dialogue with all the major faiths about the role they wish to play in education in the future.,607,51421,199705
"Where any of the major faiths wish to establish publicly funded voluntary schools we will enable them to do so, provided that they enjoy substantial community support, offer acceptable programmes of study, provide equality of opportunity and are able to deliver the Minimum Curriculum Entitlement.",607,51421,199705
- Forge a new partnership with the independent sector.,507,51421,199705
We will encourage independent schools to work with state schools.,507,51421,199705
We will phase out the Assisted Places Scheme,507,51421,199705
"and use the money saved to enable LEAs, if they wish, to enter into local partnership schemes.",303,51421,199705
These could include assisting the funding of pupils at independent schools.,506,51421,199705
"Pupils currently covered by the Assisted Places Scheme would, however, be protected until they finish their studies.",506,51421,199705
We will require independent schools to offer the Minimum Curriculum Entitlement.,506,51421,199705
We will extend charitable status to all schools without affecting total Council funding and maintain the VAT exemption on school fees.,402,51421,199705
"In the information age, education must be a life-long activity from which people can benefit anywhere and at any time, rather than being something that only happens in school.",411,51421,199705
- Widen access to further education.,411,51421,199705
"We will give every person an Individual Learning Account as the basis for life-long post-school education with contributions made by the state, individuals and employers.",411,51421,199705
Our aim is that the state contribution will be at least equivalent to the cost of fees on approved courses.,411,51421,199705
We will replace the Student Loans Scheme with a fair repayment scheme linked to salaries in later life.,408,51421,199705
We oppose top-up fees for tuition.,408,51421,199705
Our aim is to ensure that students on approved courses (including part-time courses) up to first degree level are treated equally.,503,51421,199705
- Promote flexible learning.,411,51421,199705
"We will create a higher standard credit-based system for all post-14 courses, including the current A-levels and degree courses.",411,51421,199705
We will work with the private sector to link all schools to the Information Super Highway and ensure that they have the equipment and skills to take advantage of this.,411,51421,199705
- Promote training in the workplace.,411,51421,199705
"To support companies that invest in education and training, and to encourage others to do so, we will introduce a 2 per cent remissible levy on company payrolls.",408,51421,199705
This would be deductible against the cost of providing accredited training or making contributions to the Individual Learning Account.,408,51421,199705
Small businesses will be exempt.,408,51421,199705
We will give Training and Enterprise Councils the leading role in forging local partnerships to meet youth training and employment needs.,301,51421,199705
- Expand training opportunities for young people.,411,51421,199705
Our aim is to ensure that 16-19 year-oIds receive the equivalent of at least 2 days a week education or on-the-job training.,411,51421,199705
- Boost chances for all adults to improve their skills and get better qualifications.,411,51421,199705
