	text	cmp_code	party_id	date
0	['aim', 'make', 'britain', 'world', 'foremost', 'learn', 'society']	411	51421	199705
1	['problem', 'country', 'education', 'underfund', 'undermine', 'repeat', 'shift', 'policy']	506	51421	199705
2	['standard', 'low', 'especially', 'core', 'skill', 'reading', 'math']	506	51421	199705
3	['britain', 'low', 'world', 'league_table']	506	51421	199705
4	['commitment', 'liberal_democrat', 'make', 'education', 'government', 'top', 'priority']	506	51421	199705
5	['invest', 'additional', 'year', 'education', 'fund', 'extra', 'pound', 'basic', 'rate', 'income', 'tax']	506	51421	199705
6	['give', 'child', 'good', 'start', 'provide', 'high', 'quality', 'early', 'year', 'education', 'year', 'old', 'child', 'whose', 'parent', 'want']	706	51421	199705
7	['increase', 'funding', 'book', 'equipment', 'school']	506	51421	199705
8	['reduce', 'primary', 'school', 'class_siz', 'year', 'child', 'need', 'class']	506	51421	199705
9	['tackle', 'backlog', 'repair', 'maintenance', 'building', 'additional', 'investment', 'year']	506	51421	199705
10	['boost', 'chance', 'adult', 'improve', 'skill', 'get', 'good', 'qualification']	506	51421	199705
11	['early', 'year', 'education', 'essential', 'building', 'block', 'high', 'standard', 'achievement', 'later']	706	51421	199705
12	['spend', 'high', 'quality', 'five', 'education', 'raise', 'standard', 'life', 'add', 'value', 'nation', 'economy']	706	51421	199705
13	['give', 'child', 'good', 'start', 'provide', 'high', 'quality', 'early', 'year', 'education', 'year', 'old', 'child', 'whose', 'parent', 'want']	706	51421	199705
14	['first', 'call', 'annual', 'programme', 'extra', 'investment', 'education']	506	51421	199705
15	['promote', 'high', 'standard', 'early', 'year', 'education']	506	51421	199705
16	['set', 'minimum', 'standard', 'care', 'curriculum', 'premise']	506	51421	199705
17	['ensure', 'early', 'year', 'education', 'supervise', 'qualified', 'staff']	506	51421	199705
18	['provide', 'choice', 'early', 'year', 'education']	506	51421	199705
19	['scrap', 'bureaucratic', 'vouch', 'scheme']	408	51421	199705
20	['ensure', 'variety', 'provision', 'wide_range', 'public', 'private', 'voluntary', 'provider']	408	51421	199705
21	['raise', 'standard', 'school']	506	51421	199705
22	['raise', 'standard', 'school', 'especially', 'literacy', 'numeracy', 'still', 'far', 'low']	506	51421	199705
23	['improve', 'teaching', 'standard']	506	51421	199705
24	['set', 'general', 'teaching', 'council', 'charge', 'improve', 'teaching', 'standard', 'make', 'teaching', 'profession', 'proud']	704	51421	199705
25	['provide', 'opportunity', 'professional', 'development', 'reward', 'excellence', 'teaching']	704	51421	199705
26	['help', 'poor', 'teacher', 'improve', 'can', 'not', 'ensure', 'continue', 'teach']	704	51421	199705
27	['encourage', 'school', 'succeed']	506	51421	199705
28	['strengthen', 'inspection', 'system', 'help', 'school', 'extend', 'inspection', 'monitor', 'local', 'education', 'authority', 'lea']	506	51421	199705
29	['strengthen', 'discipline', 'school']	603	51421	199705
30	['support', 'teacher', 'maintain', 'discipline', 'provide', 'mean', 'example', 'provide', 'good', 'access', 'special', 'referral', 'unit']	603	51421	199705
31	['require', 'school', 'develop', 'policy', 'tackle', 'bullying', 'truancy']	603	51421	199705
32	['launch', 'national', 'truancy', 'watch', 'scheme']	603	51421	199705
33	['oblige', 'lea', 'fulfil', 'educate', 'pupil', 'exclude', 'suspend', 'school']	301	51421	199705
34	['measure', 'achievement', 'pupil', 'school']	506	51421	199705
35	['give', 'pupil', 'personal', 'record', 'achievement', 'enable', 'build', 'set', 'nationally', 'accredit', 'qualification', 'record', 'achievement']	506	51421	199705
36	['require', 'school', 'publish', 'meaningful', 'information', 'standard', 'achievement', 'plan', 'future']	506	51421	199705
37	['improve', 'national', 'curriculum']	506	51421	199705
38	['replace', 'national', 'curriculum', 'focus', 'flexible', 'minimum', 'curriculum', 'entitlement']	506	51421	199705
39	['ensure', 'religious', 'education', 'provide', 'pupil', 'understand', 'major', 'tradition', 'belief', 'country']	603	51421	199705
40	['boost', 'literacy']	506	51421	199705
41	['establish', 'special', 'literacy', 'programme', 'involve', 'parent', 'teacher', 'drive', 'ensure', 'per_cent', 'pupil', 'reach', 'expect', 'reading', 'age']	506	51421	199705
42	['extra', 'investment', 'well', 'equip', 'classroom', 'better', 'maintain', 'building', 'essential', 'standard', 'improve']	506	51421	199705
43	['increase', 'funding', 'book', 'equipment', 'school']	506	51421	199705
